Elevation,Aspect,Slope,Type
3233,326,3,2
2781,279,5,2
3077,40,11,2
3152,7,12,1
2995,165,5,1
2861,54,17,2
3196,149,16,1
3106,50,15,1
2873,140,8,2
3285,28,26,2
3135,112,29,1
2972,26,11,2
3108,320,8,2
3110,305,21,1
2981,52,8,1
3200,70,10,1
3046,130,22,1
3013,333,20,2
2968,340,7,1
3145,288,18,1
2854,93,5,2
3073,180,9,2
3060,231,26,2
2888,77,5,2
2754,11,8,2
2960,127,21,2
2885,50,14,2
3208,319,13,2
3053,100,16,1
2803,109,13,2
3133,219,6,1
3195,53,7,1
3067,140,19,2
2565,39,16,2
3209,266,14,1
2906,59,10,2
3292,59,19,1
2776,8,21,2
2879,45,15,2
2876,107,15,2
2837,357,5,1
3210,143,26,1
2925,300,27,1
2799,351,23,1
2789,10,11,2
3182,273,15,2
3041,305,4,1
3230,0,12,1
2987,106,8,1
3061,276,5,2
2957,104,13,2
2909,107,19,2
2961,76,23,2
3264,63,11,1
2632,153,34,2
3156,52,20,1
2948,80,15,2
3057,51,13,1
2965,114,6,2
3139,313,10,2
3176,18,12,1
2558,345,11,2
2608,59,1,2
3236,19,16,1
3173,186,7,2
3085,30,5,1
2821,333,15,2
2910,78,18,2
2659,330,23,2
2952,121,20,2
3279,270,8,2
2885,274,15,1
3073,157,16,2
3196,348,8,1
2921,57,15,2
2846,49,28,2
3198,12,10,2
2922,227,9,1
2792,345,7,1
3007,87,16,2
3138,34,3,2
2942,41,19,1
2939,101,15,1
2921,162,10,2
3211,45,5,1
3006,37,12,2
3037,148,18,2
3185,329,18,1
3146,279,15,2
3225,153,2,2
2632,353,18,2
3134,135,8,1
3070,11,8,2
2647,38,9,2
3035,344,12,2
2949,95,10,2
3132,153,7,2
3205,326,12,1
2830,115,10,2
3324,301,14,1
2953,146,5,2
2871,114,21,2
3010,61,7,2
2955,264,16,2
3298,91,10,1
2919,346,6,2
2908,85,8,2
3072,283,9,1
3020,74,7,2
3171,63,4,1
2690,82,12,2
3155,3,13,1
2787,111,15,2
2983,341,11,2
3084,253,9,1
3223,33,11,1
2990,177,10,2
2900,7,20,2
3018,100,20,1
3300,237,13,2
3064,90,7,1
3210,7,20,2
3090,103,20,2
